;;;;;;;;;;;;;x
return_cores_J01_title;Return cores to Middle Juz ;;;;;;;;;;;;x,,
return_cores_J01_desc;We hold provinces that Middle Juz has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_J02_title;Return cores to Junior Juz ;;;;;;;;;;;;x,,
return_cores_J02_desc;We hold provinces that Junior Juz has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BH0_title;Return cores to Punakha ;;;;;;;;;;;;x,,
return_cores_BH0_desc;We hold provinces that Punakha has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BH3_title;Return cores to Paro ;;;;;;;;;;;;x,,
return_cores_BH3_desc;We hold provinces that Paro has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BH7_title;Return cores to Trongsa ;;;;;;;;;;;;x,,
return_cores_BH7_desc;We hold provinces that Trongsa has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D0N_title;Return cores to Don ;;;;;;;;;;;;x,,
return_cores_D0N_desc;We hold provinces that Don has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_K0B_title;Return cores to Kuban ;;;;;;;;;;;;x,,
return_cores_K0B_desc;We hold provinces that Kuban has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ORE_title;Return cores to Orenburg ;;;;;;;;;;;;x,,
return_cores_ORE_desc;We hold provinces that Orenburg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TRK_title;Return cores to Terek ;;;;;;;;;;;;x,,
return_cores_TRK_desc;We hold provinces that Terek has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_YAI_title;Return cores to Yaik ;;;;;;;;;;;;x,,
return_cores_YAI_desc;We hold provinces that Yaik has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ZAZ_title;Return cores to Azov ;;;;;;;;;;;;x,,
return_cores_ZAZ_desc;We hold provinces that Azov has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DA1_title;Return cores to Avaristan ;;;;;;;;;;;;x,,
return_cores_DA1_desc;We hold provinces that Avaristan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DA2_title;Return cores to Kaytag ;;;;;;;;;;;;x,,
return_cores_DA2_desc;We hold provinces that Kaytag has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DA3_title;Return cores to Gazikumukh ;;;;;;;;;;;;x,,
return_cores_DA3_desc;We hold provinces that Gazikumukh has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DA4_title;Return cores to Tabasaran ;;;;;;;;;;;;x,,
return_cores_DA4_desc;We hold provinces that Tabasaran has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_M4N_title;Return cores to Isle of Man ;;;;;;;;;;;;x,,
return_cores_M4N_desc;We hold provinces that Isle of Man has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KER_title;Return cores to Cornwall ;;;;;;;;;;;;x,,
return_cores_KER_desc;We hold provinces that Cornwall has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CEL_title;Return cores to Celtic Union ;;;;;;;;;;;;x,,
return_cores_CEL_desc;We hold provinces that Celtic Union has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GIA_title;Return cores to Guria ;;;;;;;;;;;;x,,
return_cores_GIA_desc;We hold provinces that Guria has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_IME_title;Return cores to Imereti ;;;;;;;;;;;;x,,
return_cores_IME_desc;We hold provinces that Imereti has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KKH_title;Return cores to Kakheti ;;;;;;;;;;;;x,,
return_cores_KKH_desc;We hold provinces that Kakheti has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KRT_title;Return cores to Kartli ;;;;;;;;;;;;x,,
return_cores_KRT_desc;We hold provinces that Kartli has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SMA_title;Return cores to Samtskhe ;;;;;;;;;;;;x,,
return_cores_SMA_desc;We hold provinces that Samtskhe has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KKK_title;Return cores to Kartli-Kakheti ;;;;;;;;;;;;x,,
return_cores_KKK_desc;We hold provinces that Kartli-Kakheti has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AZ0_title;Return cores to Derbent ;;;;;;;;;;;;x,,
return_cores_AZ0_desc;We hold provinces that Derbent has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AZ1_title;Return cores to Elisu ;;;;;;;;;;;;x,,
return_cores_AZ1_desc;We hold provinces that Elisu has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AZ2_title;Return cores to Sheki ;;;;;;;;;;;;x,,
return_cores_AZ2_desc;We hold provinces that Sheki has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AZ3_title;Return cores to Shirvan ;;;;;;;;;;;;x,,
return_cores_AZ3_desc;We hold provinces that Shirvan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AZ4_title;Return cores to Talyshistan ;;;;;;;;;;;;x,,
return_cores_AZ4_desc;We hold provinces that Talyshistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AZ5_title;Return cores to Baku ;;;;;;;;;;;;x,,
return_cores_AZ5_desc;We hold provinces that Baku has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AZ6_title;Return cores to Quba ;;;;;;;;;;;;x,,
return_cores_AZ6_desc;We hold provinces that Quba has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AZ7_title;Return cores to Tarki ;;;;;;;;;;;;x,,
return_cores_AZ7_desc;We hold provinces that Tarki has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AZ8_title;Return cores to Karabagh ;;;;;;;;;;;;x,,
return_cores_AZ8_desc;We hold provinces that Karabagh has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AZ9_title;Return cores to Ganja ;;;;;;;;;;;;x,,
return_cores_AZ9_desc;We hold provinces that Ganja has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AZZ_title;Return cores to Nakhichevan ;;;;;;;;;;;;x,,
return_cores_AZZ_desc;We hold provinces that Nakhichevan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_A0Z_title;Return cores to Tabriz ;;;;;;;;;;;;x,,
return_cores_A0Z_desc;We hold provinces that Tabriz has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_A1Z_title;Return cores to Ardabil ;;;;;;;;;;;;x,,
return_cores_A1Z_desc;We hold provinces that Ardabil has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_A2Z_title;Return cores to Maku ;;;;;;;;;;;;x,,
return_cores_A2Z_desc;We hold provinces that Maku has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_A3Z_title;Return cores to Irevan ;;;;;;;;;;;;x,,
return_cores_A3Z_desc;We hold provinces that Irevan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PIC_title;Return cores to Picardie ;;;;;;;;;;;;x,,
return_cores_PIC_desc;We hold provinces that Picardie has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T1B_title;Return cores to Muli ;;;;;;;;;;;;x,,
return_cores_T1B_desc;We hold provinces that Muli has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T2B_title;Return cores to Chakla ;;;;;;;;;;;;x,,
return_cores_T2B_desc;We hold provinces that Chakla has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T3B_title;Return cores to Litang ;;;;;;;;;;;;x,,
return_cores_T3B_desc;We hold provinces that Litang has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T5B_title;Return cores to Bathang ;;;;;;;;;;;;x,,
return_cores_T5B_desc;We hold provinces that Bathang has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T6B_title;Return cores to Kham ;;;;;;;;;;;;x,,
return_cores_T6B_desc;We hold provinces that Kham has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T7B_title;Return cores to Jone ;;;;;;;;;;;;x,,
return_cores_T7B_desc;We hold provinces that Jone has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T8B_title;Return cores to Horkhok ;;;;;;;;;;;;x,,
return_cores_T8B_desc;We hold provinces that Horkhok has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T9B_title;Return cores to Derge ;;;;;;;;;;;;x,,
return_cores_T9B_desc;We hold provinces that Derge has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_Y0B_title;Return cores to Kokang ;;;;;;;;;;;;x,,
return_cores_Y0B_desc;We hold provinces that Kokang has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NZF_title;Return cores to French New Zealand ;;;;;;;;;;;;x,,
return_cores_NZF_desc;We hold provinces that French New Zealand has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_FAS_title;Return cores to French Australia ;;;;;;;;;;;;x,,
return_cores_FAS_desc;We hold provinces that French Australia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_FCA_title;Return cores to French Canada ;;;;;;;;;;;;x,,
return_cores_FCA_desc;We hold provinces that French Canada has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ULA_title;Return cores to Louisiana ;;;;;;;;;;;;x,,
return_cores_ULA_desc;We hold provinces that Louisiana has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_EIC_title;Return cores to East India Company ;;;;;;;;;;;;x,,
return_cores_EIC_desc;We hold provinces that East India Company has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_UTI_title;Return cores to Utility Tag ;;;;;;;;;;;;x,,
return_cores_UTI_desc;We hold provinces that Utility Tag has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_OCC_title;Return cores to Occitania ;;;;;;;;;;;;x,,
return_cores_OCC_desc;We hold provinces that Occitania has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ACA_title;Return cores to Acadia ;;;;;;;;;;;;x,,
return_cores_ACA_desc;We hold provinces that Acadia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_VIC_title;Return cores to Nationalist France ;;;;;;;;;;;;x,,
return_cores_VIC_desc;We hold provinces that Nationalist France has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BOR_title;Return cores to The Kingdom of France ;;;;;;;;;;;;x,,
return_cores_BOR_desc;We hold provinces that The Kingdom of France has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ADO_title;Return cores to Andorra ;;;;;;;;;;;;x,,
return_cores_ADO_desc;We hold provinces that Andorra has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MNC_title;Return cores to Monaco ;;;;;;;;;;;;x,,
return_cores_MNC_desc;We hold provinces that Monaco has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LIE_title;Return cores to Liechtenstein ;;;;;;;;;;;;x,,
return_cores_LIE_desc;We hold provinces that Liechtenstein has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
